Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
1340.634	30.46472	30.3069	30.01328	29.68296	29.28291	28.60024	27.98731	27.40375	26.87522	26.55591	25.98703	25.69341	25.36676	
1343.134	30.45004	30.27387	29.98025	29.66461	29.28658	28.63695	28.03136	27.44412	26.9156	26.59262	26.02006	25.71176	25.38511	
1345.634	30.70455	30.46459	30.10124	29.72687	29.33049	28.67352	28.0716	27.48803	26.95216	26.62918	26.04561	25.74098	25.40699	
1348.133	30.78328	30.55767	30.20759	29.82222	29.40748	28.71014	28.11189	27.52098	27.00347	26.67315	26.0749	25.77761	25.43261	
1350.633	30.61843	30.44609	30.16348	29.83315	29.4331	28.75411	28.15219	27.55761	27.02908	26.70243	26.10786	25.78855	25.4362	
1353.133	30.54122	30.37239	30.10447	29.79983	29.44015	28.79052	28.19227	27.6087	27.06182	26.73884	26.13692	25.81761	25.45792	
1355.633	30.75427	30.52149	30.17787	29.8292	29.45483	28.80887	28.2253	27.64541	27.1132	26.77921	26.17729	25.84697	25.47994	
1358.133	30.90457	30.66463	30.31352	29.93181	29.52074	28.84909	28.25084	27.67462	27.14241	26.80842	26.19549	25.86884	25.49447	
1360.633	30.78263	30.59284	30.30969	29.96102	29.56463	28.90032	28.29106	27.70382	27.17531	26.83765	26.2394	25.89073	25.51636	
1363.133	30.61786	30.47105	30.22161	29.92799	29.57197	28.91133	28.32042	27.73686	27.19733	26.87068	26.24674	25.91642	25.5237	
1365.632	30.68936	30.5139	30.22881	29.92417	29.57183	28.95156	28.368	27.78076	27.23756	26.89256	26.27229	25.93462	25.54558	
1368.132	30.81824	30.60696	30.2948	29.96081	29.59378	28.9625	28.38627	27.81004	27.26684	26.93652	26.30891	25.95656	25.56018	
1370.632	30.90764	30.69278	30.37172	30.01938	29.64501	29.00639	28.43017	27.8466	27.30706	26.96573	26.31977	25.98578	25.57471	
1373.132	30.81451	30.64621	30.38273	30.05975	29.69272	29.03943	28.45586	27.87596	27.33642	26.99876	26.34913	26.01147	25.59673	
1375.632	30.74639	30.60317	30.3423	30.04501	29.68899	29.06506	28.48883	27.90893	27.36938	27.03172	26.38209	26.03341	25.61868	
1378.132	30.82871	30.65682	30.37158	30.0486	29.69992	29.07966	28.51444	27.93454	27.39133	27.04633	26.41138	26.05169	25.63696	
1380.632	30.93251	30.74272	30.44124	30.10725	29.74022	29.11262	28.54006	27.96383	27.4243	27.09031	26.44802	26.092	25.66259	
1383.131	30.91798	30.75326	30.4736	30.15108	29.78038	29.15277	28.57288	27.99298	27.45344	27.10843	26.4588	26.1138	25.68438	
1385.631	30.8141	30.68878	30.43002	30.14007	29.78772	29.17479	28.59857	28.02234	27.48647	27.15615	26.48816	26.13215	25.70273	
1388.131	30.73873	30.62416	30.37848	30.09221	29.77289	29.17832	28.60943	28.04054	27.52302	27.17435	26.51738	26.16136	25.72094	
1390.631	30.95365	30.78535	30.48062	30.14359	29.79125	29.19667	28.63879	28.0699	27.54504	27.1927	26.54674	26.17604	25.73928	
1393.131	31.06104	30.89632	30.57726	30.24628	29.85723	29.22962	28.66808	28.10653	27.56699	27.22199	26.56869	26.20533	25.75756	
1395.631	30.93554	30.81738	30.56279	30.25715	29.89747	29.26619	28.6973	28.12841	27.59254	27.25489	26.5869	26.23089	25.77945	
