Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
79087.28022	22.18421	22.25214	22.2542	22.41968	22.49251	22.52651	22.64325	22.75831	22.95358	23.03465	23.07985	23.15345	23.22229	23.06369
79089.77947	22.19552	22.25611	22.2545	22.41631	22.47813	22.5158	22.63253	22.73659	22.93553	23.0166	23.05813	23.14274	23.21524	23.05665
79092.27972	22.21056	22.27115	22.25486	22.42034	22.48582	22.52349	22.62555	22.73328	22.91388	22.99494	23.04014	23.11741	23.19359	23.04233
79094.77997	22.21093	22.26785	22.2589	22.41337	22.49354	22.51286	22.61858	22.71897	22.90323	22.97696	23.0185	23.09943	23.18295	23.0427
79097.28022	22.22231	22.26822	22.2556	22.4064	22.47189	22.50589	22.6006	22.70466	22.88526	22.96632	23.00419	23.08145	23.16864	23.03207
79099.78047	22.2262	22.28312	22.25582	22.40295	22.46844	22.48408	22.58614	22.69019	22.87446	22.94452	22.98605	23.07066	23.15784	23.02861
79102.28072	22.23772	22.27262	22.26	22.39612	22.46528	22.49194	22.57931	22.67969	22.86395	22.93401	22.97187	23.05281	23.14734	23.01076
79104.78097	22.24543	22.28768	22.26404	22.40016	22.47299	22.50332	22.57601	22.67273	22.84597	22.91603	22.95756	23.04584	23.1367	23.0038
79107.28022	22.26415	22.29905	22.2644	22.38584	22.47335	22.489	22.56903	22.66575	22.84267	22.90172	22.94325	23.02786	23.12972	23.00049
79109.78047	22.29029	22.30317	22.27587	22.39364	22.46646	22.47844	22.5548	22.64785	22.83211	22.89849	22.93635	23.02096	23.11182	22.98992
79112.28072	22.29798	22.32187	22.27622	22.40133	22.46681	22.4898	22.54048	22.62618	22.81779	22.87684	22.91837	23.00298	23.10485	22.99397
79114.78097	22.30937	22.32959	22.28394	22.39804	22.46352	22.47917	22.54085	22.62288	22.80715	22.86253	22.90406	22.98133	23.08686	22.97965
79117.28122	22.32082	22.34471	22.28437	22.40948	22.4713	22.48694	22.54496	22.62332	22.80759	22.85196	22.88615	22.97076	23.07997	22.96175
79119.78147	22.33212	22.345	22.29201	22.40978	22.47526	22.49091	22.54158	22.61995	22.79319	22.8449	22.87909	22.96737	23.06923	22.96202
79122.28172	22.33976	22.3563	22.29964	22.41374	22.47555	22.48386	22.53086	22.60189	22.78615	22.83051	22.85737	22.95666	23.05118	22.94397
79124.78097	22.35106	22.36394	22.30727	22.4177	22.48319	22.48782	22.53116	22.59484	22.77176	22.81246	22.84665	22.93493	23.0368	22.92958
79127.28122	22.36994	22.37915	22.31147	22.41823	22.49106	22.48835	22.52434	22.58803	22.76127	22.8093	22.83983	22.92811	23.03364	22.9301
79129.78147	22.38857	22.38677	22.31909	22.42218	22.48767	22.4923	22.52462	22.58464	22.75423	22.79859	22.82544	22.91739	23.02293	22.91939
79132.28172	22.41471	22.39823	22.33056	22.42997	22.49179	22.49275	22.52141	22.58509	22.73999	22.78069	22.81488	22.90316	23.00502	22.90148
79134.78197	22.42616	22.42069	22.342	22.44142	22.49222	22.49686	22.51817	22.57451	22.72207	22.7701	22.80429	22.87789	22.99444	22.8909
79137.28222	22.44127	22.43947	22.35711	22.44552	22.51101	22.5083	22.52961	22.58229	22.73719	22.77788	22.80106	22.88567	22.98387	22.88033
79139.78247	22.46	22.45086	22.3685	22.46058	22.52606	22.51235	22.52632	22.57532	22.73756	22.77091	22.79043	22.87503	22.98057	22.87703
79142.28172	22.47144	22.45863	22.3726	22.46468	22.52649	22.51645	22.53042	22.56841	22.72699	22.75668	22.77619	22.86447	22.96633	22.86646
79144.78197	22.49766	22.48118	22.38047	22.46888	22.52702	22.52432	22.52728	22.56527	22.7165	22.74985	22.76203	22.84663	22.95951	22.86698
79147.28222	22.51645	22.4963	22.39559	22.48399	22.53113	22.52108	22.52037	22.56203	22.72061	22.74663	22.76614	22.85075	22.95262	22.85641
79149.78247	22.5279	22.5004	22.41071	22.48443	22.54625	22.53253	22.53549	22.56614	22.72473	22.7434	22.75557	22.84752	22.95305	22.84951
79152.28272	22.55763	22.53381	22.4331	22.5105	22.5613	22.54759	22.54321	22.56652	22.71775	22.73643	22.7486	22.8332	22.93507	22.84254
79154.78297	22.57634	22.54517	22.44079	22.51452	22.56532	22.55528	22.53622	22.56687	22.71444	22.73311	22.73794	22.82255	22.92808	22.82454
79157.28322	22.59514	22.56765	22.45226	22.52598	22.57679	22.5594	22.54034	22.57099	22.70387	22.72254	22.72737	22.80831	22.90651	22.81765
79159.78247	22.62495	22.57544	22.46372	22.54111	22.59559	22.57453	22.5518	22.57144	22.71533	22.72299	22.72782	22.80509	22.91063	22.81443
79162.28272	22.65475	22.6089	22.48617	22.55256	22.60336	22.58231	22.5559	22.57187	22.70843	22.71976	22.7246	22.79819	22.90373	22.80386
79164.78297	22.67347	22.61661	22.49756	22.56761	22.60741	22.58635	22.55628	22.57225	22.70513	22.72014	22.7213	22.80223	22.9041	22.80423
79167.28322	22.69225	22.63906	22.51634	22.57538	22.62252	22.59779	22.56772	22.56901	22.70923	22.72056	22.71805	22.79899	22.89718	22.80465
79169.78347	22.71106	22.65053	22.52046	22.58318	22.63031	22.60191	22.56083	22.56579	22.69866	22.70999	22.70381	22.78475	22.88662	22.78307
79172.28372	22.71157	22.66572	22.53198	22.5947	22.64183	22.61344	22.57235	22.57731	22.69918	22.71051	22.70066	22.77793	22.86879	22.76891
79174.78397	22.73762	22.68076	22.55436	22.60607	22.65687	22.62481	22.57638	22.574	22.69955	22.70354	22.69736	22.7783	22.86915	22.76561
79177.28322	22.76382	22.7033	22.57323	22.6286	22.6684	22.64	22.58424	22.58553	22.70741	22.70406	22.70155	22.77515	22.86967	22.76613
79179.78347	22.78247	22.7146	22.56985	22.63257	22.6797	22.64763	22.5882	22.58215	22.70403	22.70435	22.68716	22.76443	22.85162	22.75909
79182.28372	22.80882	22.73729	22.59254	22.64424	22.68404	22.65931	22.59254	22.58648	22.71202	22.69766	22.68781	22.75774	22.85227	22.74506
79184.78397	22.83489	22.76335	22.6076	22.66297	22.70276	22.66703	22.60392	22.59053	22.71239	22.69803	22.67717	22.76178	22.84162	22.74175
79187.28422	22.85375	22.78222	22.63747	22.67816	22.71061	22.68222	22.61544	22.59838	22.71291	22.69488	22.68136	22.75129	22.84215	22.73861
79189.78447	22.86881	22.79728	22.64885	22.69322	22.73301	22.68994	22.61215	22.59509	22.72062	22.69525	22.67806	22.74799	22.8315	22.72796
