Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
93.21654	26.3428	25.51816	24.49416	23.76121	23.52097	22.57617	21.83092	21.06751	20.60884	20.16475	19.82341	19.72954	19.53714
95.71639	26.54445	25.71613	24.69214	23.9445	23.70426	22.7301	21.97017	21.18474	20.71506	20.24527	19.87091	19.76969	19.56261
98.21623	26.74609	25.91778	24.8791	24.13514	23.88022	22.89138	22.11309	21.30931	20.81758	20.31476	19.92204	19.80615	19.58071
100.71608	26.93301	26.11571	25.06969	24.3037	24.05245	23.04893	22.26331	21.43017	20.92744	20.39526	19.98052	19.84994	19.60249
103.21594	27.12011	26.29547	25.25312	24.47979	24.22121	23.21035	22.4027	21.5512	21.03749	20.48696	20.03552	19.91228	19.63546
105.71678	27.30327	26.49331	25.43261	24.65562	24.39703	23.37148	22.53815	21.67197	21.14721	20.56364	20.09752	19.94492	19.65709
108.21663	27.47562	26.65832	25.59762	24.81695	24.55102	23.51814	22.67379	21.79293	21.24984	20.65893	20.16346	20.01086	19.69367
110.71648	27.66624	26.84894	25.7809	24.99656	24.71962	23.66472	22.82037	21.91382	21.36338	20.73943	20.21826	20.06199	19.71911
113.21632	27.84225	27.02128	25.95324	25.15422	24.88095	23.82605	22.95601	22.03845	21.47332	20.83102	20.2915	20.12055	19.75932
115.71719	27.99984	27.18988	26.11083	25.30447	25.03487	23.96162	23.0769	22.152	21.57586	20.91888	20.35	20.16804	19.78478
118.21702	28.17578	27.35114	26.27576	25.4694	25.18879	24.11553	23.2198	22.26921	21.68207	21.00308	20.41951	20.22654	19.82126
120.71688	28.31884	27.51989	26.44084	25.63081	25.3502	24.25859	23.35185	22.39025	21.7921	21.1021	20.47816	20.28152	19.86523
123.21673	28.43965	27.66272	26.58367	25.78098	25.50037	24.40877	23.48734	22.51106	21.89824	21.18988	20.54759	20.33994	19.89796
125.71757	28.54224	27.77999	26.71563	25.92027	25.62865	24.54806	23.61195	22.632	22.01185	21.27413	20.62083	20.40216	19.93816
128.21742	28.63019	27.88629	26.84394	26.05227	25.77166	24.68005	23.74028	22.75665	22.12178	21.37306	20.69406	20.46806	19.98571
130.71728	28.72896	27.99607	26.9574	26.16572	25.88878	24.80084	23.8574	22.85909	22.21691	21.4535	20.76717	20.52281	20.01477
133.21711	28.80964	28.09511	27.06377	26.27944	25.99883	24.91823	23.97112	22.96914	22.32694	21.54885	20.83683	20.59247	20.06975
135.71697	28.86447	28.17562	27.16998	26.38931	26.1087	25.0281	24.08833	23.07535	22.42583	21.63673	20.91002	20.65466	20.10624
138.21783	28.91201	28.23784	27.25422	26.49557	26.21129	25.14538	24.19459	23.18161	22.5321	21.72832	20.97959	20.71688	20.15378
140.71768	28.95959	28.31111	27.3385	26.59087	26.31392	25.25168	24.30823	23.29892	22.62738	21.81258	21.0455	20.77546	20.19401
143.21751	29.0365	28.36968	27.40808	26.66044	26.38717	25.34328	24.39983	23.39419	22.71527	21.88947	21.11505	20.83032	20.23787
145.71737	29.09866	28.45019	27.49593	26.7593	26.48236	25.4348	24.49136	23.48938	22.81782	21.981	21.18823	20.90717	20.28902
148.21822	29.14981	28.51235	27.55809	26.84349	26.55921	25.53366	24.58288	23.5699	22.9057	22.06521	21.2651	20.9767	20.33653
150.71805	29.19378	28.58201	27.64243	26.92415	26.63987	25.61433	24.68557	23.67625	23.00103	22.16054	21.33841	21.039	20.38415
153.2179	29.24858	28.63681	27.71191	27.00465	26.72037	25.70217	24.76606	23.77143	23.09258	22.23741	21.41528	21.10486	20.43166
155.71775	29.33278	28.70267	27.78144	27.08151	26.79723	25.78637	24.85761	23.84829	23.16576	22.31059	21.47745	21.16703	20.48648
158.2186	29.34366	28.75391	27.8547	27.15478	26.8705	25.86331	24.93087	23.93257	23.25734	22.39484	21.54701	21.23292	20.5377
160.71845	29.41324	28.81248	27.9096	27.22803	26.94008	25.94757	25.01881	24.0205	23.32691	22.47174	21.60924	21.28414	20.57423
163.21831	29.44245	28.86371	27.9645	27.28293	26.99498	26.00614	25.08104	24.09375	23.42218	22.54867	21.68249	21.35372	20.6328
165.71815	29.48628	28.90754	28.02301	27.35245	27.06817	26.09401	25.16525	24.17429	23.49903	22.62552	21.76668	21.41956	20.6913
168.218	29.54857	28.96617	28.08531	27.41842	27.13414	26.15998	25.23489	24.24393	23.5797	22.71353	21.83267	21.49289	20.73894
170.71888	29.5998	29.02841	28.15489	27.48066	27.1927	26.2369	25.31547	24.32818	23.6603	22.77944	21.90226	21.55513	20.79384
173.2188	29.62159	29.07222	28.20237	27.5575	27.26588	26.31007	25.38498	24.40503	23.7298	22.84161	21.95708	21.60996	20.845
175.71874	29.6509	29.10152	28.24269	27.6125	27.32455	26.37241	25.462	24.47838	23.79212	22.91126	22.02307	21.65759	20.88529
